Index,GameTime,DspTime,Instrument,InputLine,InputPitch,FinalPitch,MaxClipIdx,ClipName,Volume,JavaMapping,WasClamped,ClampedFrom,Status
923,126.880,1986.8154,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
924,126.880,1986.8154,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
925,126.881,1986.8154,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
926,126.930,1986.8677,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
927,127.230,1987.1695,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
928,127.231,1987.1695,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
929,127.231,1987.1695,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
930,127.280,1987.2160,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
931,127.612,1987.5468,Piano,1,5,24,44,piano_snd024,0.15,True,True,5,PLAYED
932,127.613,1987.5468,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
933,127.613,1987.5468,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
934,127.613,1987.5468,Piano,4,7,12,44,piano_snd012,0.15,True,True,7,PLAYED
935,127.930,1987.8719,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
936,127.931,1987.8719,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
937,128.080,1988.0171,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
938,128.080,1988.0171,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
939,128.080,1988.0171,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
940,128.113,1988.0519,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
941,128.263,1988.1970,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
942,128.264,1988.1970,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
943,128.264,1988.1970,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
944,128.297,1988.2318,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
945,128.613,1988.5511,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
946,128.613,1988.5511,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
947,128.613,1988.5511,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
948,128.663,1988.6034,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
949,128.930,1988.8704,Piano,5,3,4,44,piano_snd004,0.15,True,True,3,PLAYED
950,129.130,1989.0678,Piano,1,8,27,44,piano_snd027,0.15,True,True,8,PLAYED
951,129.130,1989.0678,Piano,2,0,15,44,piano_snd015,0.15,True,True,0,PLAYED
952,129.130,1989.0678,Piano,0,6,30,44,piano_snd030,0.15,True,True,6,PLAYED
953,129.130,1989.0678,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
954,129.280,1989.2187,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
955,129.280,1989.2187,Piano,1,8,27,44,piano_snd027,0.15,True,True,8,PLAYED
956,129.280,1989.2187,Piano,2,0,15,44,piano_snd015,0.15,True,True,0,PLAYED
957,129.280,1989.2187,Piano,0,6,30,44,piano_snd030,0.15,True,True,6,PLAYED
958,129.647,1989.5786,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
959,129.647,1989.5786,Piano,0,3,27,44,piano_snd027,0.15,True,True,3,PLAYED
960,129.647,1989.5786,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
961,129.647,1989.5786,Piano,2,3,18,44,piano_snd018,0.15,True,True,3,PLAYED
962,129.979,1989.9153,Piano,4,0,5,44,piano_snd005,0.15,True,True,0,PLAYED
963,130.147,1990.0894,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
964,130.147,1990.0894,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
965,130.148,1990.0894,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
966,130.148,1990.0894,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
967,130.313,1990.2462,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
968,130.313,1990.2462,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
969,130.313,1990.2462,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
970,130.314,1990.2462,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
971,130.663,1990.6003,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
